Phylum,NCBI Code
Acidobacteria,57723
Actinobacteria,201174
Armatimonadetes,67819
BRC1,910028
Bacteroidetes,200643
Chlamydiae,204428
Chloroflexi,200795
Crenarchaeota,183924
Cyanobacteria,1117
Dadabacteria,1752716
Deinococcus-Thermus,1297
Dependentiae,95901
Diapherotrites,743725
Elusimicrobia,641853
Entotheonellaeota,1802339
Euryarchaeota,28890
FBP,2109258
FCPU426,NA
Fibrobacteres,1783270
Firmicutes,1239
Florideophycidae,2763
GAL15,NA
Gemmatimonadetes,142182
Halanaerobiaeota,1239
Hydrogenedentes,142187
Kiritimatiellaeota,134625
Latescibacteria,74015
Nanoarchaeaeota,192989
Nematoda,6231
Nitrospirae,40117
Omnitrophicaeota,67812
Patescibacteria,1618338
Planctomycetes,203682
Proteobacteria,1224
Rokubacteria,1752708
RsaHf231,NA
Spirochaetes,203691
Tenericutes,544448
Thaumarchaeota,651137
Verrucomicrobia,74201
WPS-2,NA
WS2,NA
Zixibacteria,1379697
