"","Samp","samp_number","Time","Treatment","Date"
"1","Fum-1-1",1,"Day_0","Non-amended",2016-08-08
"2","Fum-1-2",2,"Day_0","Non-amended",2016-08-08
"3","Fum-1-3",3,"Day_0","Non-amended",2016-08-08
"4","Fum-1-4",4,"Day_0","Non-amended",2016-08-08
"5","Fum-1-5",5,"Day_0","Non-amended",2016-08-08
"6","Fum-1-6",6,"Day_0","Non-amended",2016-08-08
"7","Fum-1-7",7,"Day_0","Non-amended",2016-08-08
"8","Fum-1-8",8,"Day_0","Non-amended",2016-08-08
"9","Fum-1-9",9,"Day_0","Mirimichi+Swine",2016-08-08
"10","Fum-1-10",10,"Day_0","Mirimichi+Swine",2016-08-08
"11","Fum-1-11",11,"Day_0","Mirimichi+Swine",2016-08-08
"12","Fum-1-12",12,"Day_0","Mirimichi+Swine",2016-08-08
"13","Fum-1-13",13,"Day_0","Mirimichi+Swine",2016-08-08
"14","Fum-1-14",14,"Day_0","Mirimichi+Swine",2016-08-08
"15","Fum-1-15",15,"Day_0","Mirimichi+Swine",2016-08-08
"16","Fum-1-16",16,"Day_0","Mirimichi+Swine",2016-08-08
"17","Fum-1-17",17,"Day_0","Mirimichi+Biosolids",2016-08-08
"18","Fum-1-18",18,"Day_0","Mirimichi+Biosolids",2016-08-08
"19","Fum-1-19",19,"Day_0","Mirimichi+Biosolids",2016-08-08
"20","Fum-1-20",20,"Day_0","Mirimichi+Biosolids",2016-08-08
"21","Fum-1-21",21,"Day_0","Mirimichi+Biosolids",2016-08-08
"22","Fum-1-22",22,"Day_0","Mirimichi+Biosolids",2016-08-08
"23","Fum-1-23",23,"Day_0","Mirimichi+Biosolids",2016-08-08
"24","Fum-1-24",24,"Day_0","Mirimichi+Biosolids",2016-08-08
"25","Fum-1-25",25,"Day_0","NSCC House Brew",2016-08-08
"26","Fum-1-26",26,"Day_0","NSCC House Brew",2016-08-08
"27","Fum-1-27",27,"Day_0","NSCC House Brew",2016-08-08
"28","Fum-1-28",28,"Day_0","NSCC House Brew",2016-08-08
"29","Fum-1-29",29,"Day_0","NSCC House Brew",2016-08-08
"30","Fum-1-30",30,"Day_0","NSCC House Brew",2016-08-08
"31","Fum-1-31",31,"Day_0","NSCC House Brew",2016-08-08
"32","Fum-1-32",32,"Day_0","NSCC House Brew",2016-08-08
"33","Fum-1-33",33,"Day_0","Non-fumigated chipping grass",2016-08-08
"34","Fum-1-34",34,"Day_0","Non-fumigated chipping grass",2016-08-08
"35","Fum-1-35",35,"Day_0","Non-fumigated chipping grass",2016-08-08
"36","Fum-1-36",36,"Day_0","Non-fumigated chipping grass",2016-08-08
"37","Fum-1-37",37,"Day_0","Non-fumigated chipping grass",2016-08-08
"38","Fum-1-38",38,"Day_0","Non-fumigated chipping grass",2016-08-08
"39","Fum-1-39",39,"Day_0","Non-fumigated chipping grass",2016-08-08
"40","Fum-1-40",40,"Day_0","Non-fumigated chipping grass",2016-08-08
"41","Fum-1-41",41,"Day_10","Non-amended",2016-08-18
"42","Fum-1-42",42,"Day_10","Non-amended",2016-08-18
"43","Fum-1-43",43,"Day_10","Non-amended",2016-08-18
"44","Fum-1-44",44,"Day_10","Non-amended",2016-08-18
"45","Fum-1-45",45,"Day_10","Non-amended",2016-08-18
"46","Fum-1-46",46,"Day_10","Non-amended",2016-08-18
"47","Fum-1-47",47,"Day_10","Non-amended",2016-08-18
"48","Fum-1-48",48,"Day_10","Non-amended",2016-08-18
"49","Fum-1-49",49,"Day_10","Mirimichi+Swine",2016-08-18
"50","Fum-1-50",50,"Day_10","Mirimichi+Swine",2016-08-18
"51","Fum-1-51",51,"Day_10","Mirimichi+Swine",2016-08-18
"52","Fum-1-52",52,"Day_10","Mirimichi+Swine",2016-08-18
"53","Fum-1-53",53,"Day_10","Mirimichi+Swine",2016-08-18
"54","Fum-1-54",54,"Day_10","Mirimichi+Swine",2016-08-18
"55","Fum-1-55",55,"Day_10","Mirimichi+Swine",2016-08-18
"56","Fum-1-56",56,"Day_10","Mirimichi+Swine",2016-08-18
"57","Fum-1-57",57,"Day_10","Mirimichi+Biosolids",2016-08-18
"58","Fum-1-58",58,"Day_10","Mirimichi+Biosolids",2016-08-18
"59","Fum-1-59",59,"Day_10","Mirimichi+Biosolids",2016-08-18
"60","Fum-1-60",60,"Day_10","Mirimichi+Biosolids",2016-08-18
"61","Fum-1-61",61,"Day_10","Mirimichi+Biosolids",2016-08-18
"62","Fum-1-62",62,"Day_10","Mirimichi+Biosolids",2016-08-18
"63","Fum-1-63",63,"Day_10","Mirimichi+Biosolids",2016-08-18
"64","Fum-1-64",64,"Day_10","Mirimichi+Biosolids",2016-08-18
"65","Fum-1-65",65,"Day_10","NSCC House Brew",2016-08-18
"66","Fum-1-66",66,"Day_10","NSCC House Brew",2016-08-18
"67","Fum-1-67",67,"Day_10","NSCC House Brew",2016-08-18
"68","Fum-1-68",68,"Day_10","NSCC House Brew",2016-08-18
"69","Fum-1-69",69,"Day_10","NSCC House Brew",2016-08-18
"70","Fum-1-70",70,"Day_10","NSCC House Brew",2016-08-18
"71","Fum-1-71",71,"Day_10","NSCC House Brew",2016-08-18
"72","Fum-1-72",72,"Day_10","NSCC House Brew",2016-08-18
"73","Fum-1-73",73,"Day_10","Non-fumigated chipping grass",2016-08-18
"74","Fum-1-74",74,"Day_10","Non-fumigated chipping grass",2016-08-18
"75","Fum-1-75",75,"Day_10","Non-fumigated chipping grass",2016-08-18
"76","Fum-1-76",76,"Day_10","Non-fumigated chipping grass",2016-08-18
"77","Fum-1-77",77,"Day_10","Non-fumigated chipping grass",2016-08-18
"78","Fum-1-78",78,"Day_10","Non-fumigated chipping grass",2016-08-18
"79","Fum-1-79",79,"Day_10","Non-fumigated chipping grass",2016-08-18
"80","Fum-1-80",80,"Day_10","Non-fumigated chipping grass",2016-08-18
"81","Fum-1-81",81,"Day_43","Non-amended",2016-09-20
"82","Fum-1-82",82,"Day_43","Non-amended",2016-09-20
"83","Fum-1-83",83,"Day_43","Non-amended",2016-09-20
"84","Fum-1-84",84,"Day_43","Non-amended",2016-09-20
"85","Fum-1-85",85,"Day_43","Non-amended",2016-09-20
"86","Fum-1-86",86,"Day_43","Non-amended",2016-09-20
"87","Fum-1-87",87,"Day_43","Non-amended",2016-09-20
"88","Fum-1-88",88,"Day_43","Non-amended",2016-09-20
"89","Fum-1-89",89,"Day_43","Mirimichi+Swine",2016-09-20
"90","Fum-1-90",90,"Day_43","Mirimichi+Swine",2016-09-20
"91","Fum-1-91",91,"Day_43","Mirimichi+Swine",2016-09-20
"92","Fum-1-92",92,"Day_43","Mirimichi+Swine",2016-09-20
"93","Fum-1-93",93,"Day_43","Mirimichi+Swine",2016-09-20
"94","Fum-1-94",94,"Day_43","Mirimichi+Swine",2016-09-20
"95","Fum-1-95",95,"Day_43","Mirimichi+Swine",2016-09-20
"96","Fum-1-96",96,"Day_43","Mirimichi+Swine",2016-09-20
"97","Fum-1-97",97,"Day_43","Mirimichi+Biosolids",2016-09-20
"98","Fum-1-98",98,"Day_43","Mirimichi+Biosolids",2016-09-20
"99","Fum-1-99",99,"Day_43","Mirimichi+Biosolids",2016-09-20
"100","Fum-1-100",100,"Day_43","Mirimichi+Biosolids",2016-09-20
"101","Fum-1-101",101,"Day_43","Mirimichi+Biosolids",2016-09-20
"102","Fum-1-102",102,"Day_43","Mirimichi+Biosolids",2016-09-20
"103","Fum-1-103",103,"Day_43","Mirimichi+Biosolids",2016-09-20
"104","Fum-1-104",104,"Day_43","Mirimichi+Biosolids",2016-09-20
"105","Fum-1-105",105,"Day_43","NSCC House Brew",2016-09-20
"106","Fum-1-106",106,"Day_43","NSCC House Brew",2016-09-20
"107","Fum-1-107",107,"Day_43","NSCC House Brew",2016-09-20
"108","Fum-1-108",108,"Day_43","NSCC House Brew",2016-09-20
"109","Fum-1-109",109,"Day_43","NSCC House Brew",2016-09-20
"110","Fum-1-110",110,"Day_43","NSCC House Brew",2016-09-20
"111","Fum-1-111",111,"Day_43","NSCC House Brew",2016-09-20
"112","Fum-1-112",112,"Day_43","NSCC House Brew",2016-09-20
"113","Fum-1-113",113,"Day_43","Non-fumigated chipping grass",2016-09-20
"114","Fum-1-114",114,"Day_43","Non-fumigated chipping grass",2016-09-20
"115","Fum-1-115",115,"Day_43","Non-fumigated chipping grass",2016-09-20
"116","Fum-1-116",116,"Day_43","Non-fumigated chipping grass",2016-09-20
"117","Fum-1-117",117,"Day_43","Non-fumigated chipping grass",2016-09-20
"118","Fum-1-118",118,"Day_43","Non-fumigated chipping grass",2016-09-20
"119","Fum-1-119",119,"Day_43","Non-fumigated chipping grass",2016-09-20
"120","Fum-1-120",120,"Day_43","Non-fumigated chipping grass",2016-09-20
"121","Fum-1-121",121,"Day_71","Non-amended",2016-10-18
"122","Fum-1-122",122,"Day_71","Non-amended",2016-10-18
"123","Fum-1-123",123,"Day_71","Non-amended",2016-10-18
"124","Fum-1-124",124,"Day_71","Non-amended",2016-10-18
"125","Fum-1-125",125,"Day_71","Non-amended",2016-10-18
"126","Fum-1-126",126,"Day_71","Non-amended",2016-10-18
"127","Fum-1-127",127,"Day_71","Non-amended",2016-10-18
"128","Fum-1-128",128,"Day_71","Non-amended",2016-10-18
"129","Fum-1-129",129,"Day_71","Mirimichi+Swine",2016-10-18
"130","Fum-1-130",130,"Day_71","Mirimichi+Swine",2016-10-18
"131","Fum-1-131",131,"Day_71","Mirimichi+Swine",2016-10-18
"132","Fum-1-132",132,"Day_71","Mirimichi+Swine",2016-10-18
"133","Fum-1-133",133,"Day_71","Mirimichi+Swine",2016-10-18
"134","Fum-1-134",134,"Day_71","Mirimichi+Swine",2016-10-18
"135","Fum-1-135",135,"Day_71","Mirimichi+Swine",2016-10-18
"136","Fum-1-136",136,"Day_71","Mirimichi+Swine",2016-10-18
"137","Fum-1-137",137,"Day_71","Mirimichi+Biosolids",2016-10-18
"138","Fum-1-138",138,"Day_71","Mirimichi+Biosolids",2016-10-18
"139","Fum-1-139",139,"Day_71","Mirimichi+Biosolids",2016-10-18
"140","Fum-1-140",140,"Day_71","Mirimichi+Biosolids",2016-10-18
"141","Fum-1-141",141,"Day_71","Mirimichi+Biosolids",2016-10-18
"142","Fum-1-142",142,"Day_71","Mirimichi+Biosolids",2016-10-18
"143","Fum-1-143",143,"Day_71","Mirimichi+Biosolids",2016-10-18
"144","Fum-1-144",144,"Day_71","Mirimichi+Biosolids",2016-10-18
"145","Fum-1-145",145,"Day_71","NSCC House Brew",2016-10-18
"146","Fum-1-146",146,"Day_71","NSCC House Brew",2016-10-18
"147","Fum-1-147",147,"Day_71","NSCC House Brew",2016-10-18
"148","Fum-1-148",148,"Day_71","NSCC House Brew",2016-10-18
"149","Fum-1-149",149,"Day_71","NSCC House Brew",2016-10-18
"150","Fum-1-150",150,"Day_71","NSCC House Brew",2016-10-18
"151","Fum-1-151",151,"Day_71","NSCC House Brew",2016-10-18
"152","Fum-1-152",152,"Day_71","NSCC House Brew",2016-10-18
"153","Fum-1-153",153,"Day_71","Non-fumigated chipping grass",2016-10-18
"154","Fum-1-154",154,"Day_71","Non-fumigated chipping grass",2016-10-18
"155","Fum-1-155",155,"Day_71","Non-fumigated chipping grass",2016-10-18
"156","Fum-1-156",156,"Day_71","Non-fumigated chipping grass",2016-10-18
"157","Fum-1-157",157,"Day_71","Non-fumigated chipping grass",2016-10-18
"158","Fum-1-158",158,"Day_71","Non-fumigated chipping grass",2016-10-18
"159","Fum-1-159",159,"Day_71","Non-fumigated chipping grass",2016-10-18
"160","Fum-1-160",160,"Day_71","Non-fumigated chipping grass",2016-10-18
"161","Fum-1-161",161,"Day_255","Non-amended",2017-04-20
"162","Fum-1-162",162,"Day_255","Non-amended",2017-04-20
"163","Fum-1-163",163,"Day_255","Non-amended",2017-04-20
"164","Fum-1-164",164,"Day_255","Non-amended",2017-04-20
"165","Fum-1-165",165,"Day_255","Non-amended",2017-04-20
"166","Fum-1-166",166,"Day_255","Non-amended",2017-04-20
"167","Fum-1-167",167,"Day_255","Non-amended",2017-04-20
"168","Fum-1-168",168,"Day_255","Non-amended",2017-04-20
"169","Fum-1-169",169,"Day_255","Mirimichi+Swine",2017-04-20
"170","Fum-1-170",170,"Day_255","Mirimichi+Swine",2017-04-20
"171","Fum-1-171",171,"Day_255","Mirimichi+Swine",2017-04-20
"172","Fum-1-172",172,"Day_255","Mirimichi+Swine",2017-04-20
"173","Fum-1-173",173,"Day_255","Mirimichi+Swine",2017-04-20
"174","Fum-1-174",174,"Day_255","Mirimichi+Swine",2017-04-20
"175","Fum-1-175",175,"Day_255","Mirimichi+Swine",2017-04-20
"176","Fum-1-176",176,"Day_255","Mirimichi+Swine",2017-04-20
"177","Fum-1-177",177,"Day_255","Mirimichi+Biosolids",2017-04-20
"178","Fum-1-178",178,"Day_255","Mirimichi+Biosolids",2017-04-20
"179","Fum-1-179",179,"Day_255","Mirimichi+Biosolids",2017-04-20
"180","Fum-1-180",180,"Day_255","Mirimichi+Biosolids",2017-04-20
"181","Fum-1-181",181,"Day_255","Mirimichi+Biosolids",2017-04-20
"182","Fum-1-182",182,"Day_255","Mirimichi+Biosolids",2017-04-20
"183","Fum-1-183",183,"Day_255","Mirimichi+Biosolids",2017-04-20
"184","Fum-1-184",184,"Day_255","Mirimichi+Biosolids",2017-04-20
"185","Fum-1-185",185,"Day_255","NSCC House Brew",2017-04-20
"186","Fum-1-186",186,"Day_255","NSCC House Brew",2017-04-20
"187","Fum-1-187",187,"Day_255","NSCC House Brew",2017-04-20
"188","Fum-1-188",188,"Day_255","NSCC House Brew",2017-04-20
"189","Fum-1-189",189,"Day_255","NSCC House Brew",2017-04-20
"190","Fum-1-190",190,"Day_255","NSCC House Brew",2017-04-20
"191","Fum-1-191",191,"Day_255","NSCC House Brew",2017-04-20
"192","Fum-1-192",192,"Day_255","NSCC House Brew",2017-04-20
"193","Fum-1-193",193,"Day_255","Non-fumigated chipping grass",2017-04-20
